Season,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Overall Pick,Combine Participation
2023,George Takacs,TE,Boston College,ACC,0.778,0.778,0.289,-0.469,3.265,0.78,0.871,0.686,6.226,6.226,0,-0.938,3.265,3.898,3.482,2.743,300,0
2023,Joey Gatewood,TE,Louisville,ACC,2.067,2.067,0.765,0.78,2.008,2.859,1.626,2.332,16.538,16.538,0,0.78,10.04,5.718,4.878,11.66,300,0
2023,Asa Martin,RB,Troy,SBC,0.103,0.371,-0.025,0.245,-0.369,0.668,0.199,-0.073,3.817,4.449,-0.632,4.9,-4.426,3.342,4.765,-0.948,300,0
2023,Brian Snead,RB,Arkansas State,SBC,-1.242,-0.613,-1.242,-0.244,-2.241,-0.905,-0.244,-2.241,-4.969,0,-4.969,-0.488,-4.481,0,-0.488,-4.481,300,0
2023,Jaelen Gill,WR,Fresno State,Mountain West,0.658,0.82,-0.238,0.647,0.185,1.901,0.705,0.584,38.831,40.976,-2.146,17.467,4.253,17.11,25.387,13.443,300,0
2023,L'Christian Smith,WR,Western Kentucky,CUSA,0.902,0.727,3.001,0.349,0.683,1.73,0.793,0.971,11.731,8.73,3.001,1.395,3.415,6.92,3.963,7.768,300,0
2023,Marcus Rogers,WR,Troy,SBC,0.025,0.025,0.082,0.111,0.155,-0.06,0.111,-0.06,0.051,0.051,0,0.111,0,-0.06,0.111,-0.06,300,0
2023,Daniel George,WR,Akron,MAC,0.517,0.517,0.507,0.212,0.71,0.764,0.251,0.872,28.957,28.45,0.507,5.501,12.075,9.169,8.026,20.93,300,0
2023,Amad Anderson Jr.,WR,Temple,AAC,1.045,1.098,0.052,0.529,1.497,0.97,0.987,1.182,41.809,41.706,0.103,6.871,19.455,12.614,27.628,14.181,300,0
2023,Jack Plummer,QB,Louisville,ACC,0.311,0.346,0.083,0.104,0.409,0.544,0.151,0.6,145.773,140.537,5.236,19.724,60.57,64.708,45.497,100.275,300,0
2023,Carson Baker,QB,Morgan State,MEAC,-0.041,-0.079,0.114,-0.28,0.047,0.277,-0.044,-0.037,-1.422,-2.217,0.795,-4.207,0.57,2.216,-0.873,-0.549,300,0
2023,Eddie Lewis,WR,South Carolina,SEC,1.073,1.073,0.71,1.119,0.228,1.782,0.976,1.952,10.733,10.733,0,6.712,0.456,3.565,8.78,1.952,300,0
2023,Cornell Hendrick Jr.,WR,Elon,CAA,0.681,0.681,0.439,0.499,0.177,0.101,1.055,0.12,6.813,6.813,0,1.994,0.177,0.304,6.331,0.482,300,0
2023,Aaron Moore,WR,Norfolk State,MEAC,2.47,2.47,1.823,2.129,2.567,2.762,2.342,2.978,12.348,12.348,0,4.258,2.567,5.523,9.37,2.978,300,0
2023,Darius Savedge,WR,Rhode Island,CAA,0.496,0.496,0.032,0.741,0.491,0.417,0.768,-0.115,12.899,12.899,0,9.63,3.438,2.084,13.819,-0.92,300,0
2023,Blake Watson,RB,Memphis,AAC,0.264,0.701,0.133,0.081,0.237,0.942,0.192,0.575,61.829,37.836,23.993,9.895,16.803,34.85,36.514,25.315,300,0
2023,Andrew Peasley,QB,Wyoming,Mountain West,0.365,0.295,0.598,0.29,0.295,0.514,0.313,0.472,110.925,69.037,41.888,39.135,24.175,44.245,64.166,46.758,300,0
2023,John Paddock,QB,Illinois,Big Ten,0.555,0.571,0.044,0.457,0.614,0.551,0.559,0.548,71.596,71.418,0.178,22.861,26.405,17.643,47.485,24.111,300,0
