Season,Player,Position,Position Group,Conference,Overall Pick,Actual Tier Number,Predicted Tier Number,Actual Tier,Predicted Tier,Correct,Ordinal Error,Prob Round 1,Prob Rounds 2-3,Prob Rounds 4-5,Prob Rounds 6-7,Prob Undrafted,Basic Prob Round 1,Basic Prob Rounds 2-3,Basic Prob Rounds 4-5,Basic Prob Rounds 6-7,Basic Prob Undrafted,Actual Target,Cumulative Targets Captured,Percent of Players Reviewed,Percent of Actual Targets Captured
2026,Skyler Gill-Howard,DL,DL,Big 12,205,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.04573284628682643,0.13779490161796848,0.21972706491512828,0.24973059965774508,0.3470145875223317,0.12929499289206037,0.2419227943348436,0.21332221693020642,0.22629125095828173,0.1891687448846079,0,33,30.944625407166125,39.75903614457831
2026,Logan Fano,EDGE,DL,Big 12,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.045844122837390866,0.1380655658649573,0.21995814914580378,0.2496944536300032,0.34643770852184486,0.10772930239159804,0.21660200770626015,0.20924250084399687,0.24346269079071137,0.22296349826743356,1,34,31.27035830618892,40.963855421686745
2026,Malik Benson,WR,Skill,Big Ten,195,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.04640699922171483,0.1394305782295323,0.22111412737734845,0.24950152719216706,0.34354676797923733,0.14660758642322802,0.25921802936348565,0.21361759739538583,0.21273824772562022,0.16781853909228028,0,34,31.596091205211724,40.963855421686745
2026,Eric Rivers,WR,Skill,ACC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.046645592028196466,0.14000711947953046,0.22159766790190885,0.24941477380278226,0.34233484678758197,0.07570202659170092,0.1699349583730679,0.19130456610919816,0.2658021710939878,0.2972562778320452,1,35,31.921824104234524,42.168674698795186
2026,Nicholas Singleton,RB,Skill,Big Ten,165,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.04672907940927082,0.14020857119114494,0.22176596617082803,0.24938373221779075,0.34191265101096546,0.076510560798071,0.17126340720812122,0.19199862729660194,0.26536759421013584,0.29485981048707,0,35,32.24755700325733,42.168674698795186
2026,Josh Cuevas,TE,Skill,SEC,173,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.046875486752670274,0.1405614848506406,0.22205998017868725,0.24932844796272297,0.3411746002552789,0.13689821078159353,0.249830411747329,0.21372380931202878,0.2202821414694044,0.1792654266896443,0,35,32.57328990228013,42.168674698795186
2026,Jaishawn Barham,DL,DL,Big Ten,92,1,3,Rounds 2-3,Rounds 6-7,Incorrect,2,0.04697299233328207,0.1407962661207074,0.22225500004330384,0.24929103448803802,0.3406847070146687,0.11172176166091564,0.22163030652767146,0.21037892165158434,0.2403067821748459,0.21596222798498266,0,35,32.89902280130293,42.168674698795186
2026,Chris Adams,OT,OL,AAC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.04767877921255437,0.14248964959559443,0.22364797615964335,0.2490063526090035,0.33717724242320435,0.11128323001153737,0.22108587018877204,0.2102635186185844,0.24065470434969305,0.21671267683141315,1,36,33.22475570032573,43.373493975903614
2026,Owen Heinecke,LB,LB,SEC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.04779333699732007,0.14276350416865233,0.22387100737109475,0.24895789579721905,0.3366142556657138,0.10716113642250392,0.21587322202043463,0.2090647082855986,0.24390932055859094,0.22399161271287193,1,37,33.55048859934853,44.57831325301205
2026,David Gusta,DL,DL,SEC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.047806939161745124,0.14279600209922888,0.22389743285543592,0.24895210130325207,0.336547524580338,0.10632240638546599,0.2147912952177779,0.2087946847525471,0.24456727732879113,0.2255243363154179,1,38,33.876221498371336,45.78313253012048
