Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,LB,LB,Cincinnati,AAC,70.5,231,9.5,72.0,4.55,33.5,22,119.0,7.44,4.41,0,6.451,60.989,44.607,64.989,69.829,0,1,Undrafted,0,0.2756453164607072,21,37.1900826446281,44.680851063829785
2023,CB,Secondary,Penn St.,Big Ten,71.375,203,10.125,75.75,4.65,32.5,18,119.0,7.03,4.21,1,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 2-3,0,0.27548872563370697,21,37.60330578512397,44.680851063829785
2025,TE,Skill,Iowa,Big Ten,77.75,251,10.0,78.375,5.42,35.0,11,120.0,7.18,4.47,1,11.144,70.238,48.063,74.759,71.573,0,0,Rounds 6-7,0,0.27477850710069845,21,38.01652892561984,44.680851063829785
2025,WR,Skill,Iowa State,Big 12,76.125,214,9.125,80.0,4.47,39.0,11,128.0,7.75,4.03,1,10.15,66.812,63.385,63.427,52.51,0,0,Rounds 2-3,0,0.2737119157801133,21,38.429752066115704,44.680851063829785
2025,WR,Skill,Minnesota,Big Ten,70.75,193,9.0,74.75,4.76,37.82,12,130.0,6.78,4.07,1,9.315,68.599,55.808,75.809,45.723,0,0,Rounds 6-7,0,0.2735865339027579,21,38.84297520661157,44.680851063829785
2024,S,Secondary,Ohio St.,Big Ten,73.5,199,8.75,78.0,4.55,32.5,13,121.0,7.03,5.07,1,27.485,89.569,83.397,86.658,44.2,1,0,Undrafted,0,0.272293329205476,21,39.25619834710744,44.680851063829785
2025,CB,Secondary,California,ACC,70.75,189,8.75,75.0,4.45,37.75,11,122.3,6.65,4.97,1,4.302,57.687,45.477,64.264,58.117,0,0,Rounds 6-7,0,0.2722082101047416,21,39.66942148760331,44.680851063829785
2023,WR,Skill,Liberty,FBS Independent,68.0,179,8.75,72.5,4.44,39.5,14,134.0,6.92,4.29,1,-3.902,44.748,35.822,54.191,53.85,0,0,Rounds 6-7,0,0.27179763943063767,21,40.082644628099175,44.680851063829785
2025,DL,DL,Alabama,SEC,76.375,302,10.375,81.625,4.28,24.5,33,138.0,6.65,4.6,0,23.933,85.057,77.281,79.955,59.628,1,0,Rounds 6-7,0,0.27156040456847774,21,40.49586776859504,44.680851063829785
2023,EDGE,DL,North Carolina,ACC,76.0,238,8.625,78.875,4.61,34.5,22,123.0,7.22,4.45,1,6.195,60.099,78.452,30.968,61.95,0,0,Undrafted,0,0.27086127959993733,21,40.909090909090914,44.680851063829785
2025,RB,Skill,North Carolina,ACC,71.75,221,9.375,74.75,4.46,38.0,18,130.0,6.75,4.4,1,2.602,50.555,55.402,46.067,47.749,0,0,Round 1,0,0.2703000818729061,21,41.32231404958678,44.680851063829785
2025,IOL,OL,Georgia,SEC,78.5,308,10.375,79.25,4.97,32.0,11,113.0,7.38,4.03,1,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 2-3,0,0.2700949066575551,21,41.735537190082646,44.680851063829785
2023,CB,Secondary,Miami,ACC,72.0,198,9.625,77.625,4.45,38.5,12,125.0,7.09,4.41,1,-0.466,39.09,36.049,46.919,51.41,0,0,Rounds 2-3,0,0.2699831677467951,21,42.14876033057851,44.680851063829785
2024,CB,Secondary,Tennessee,SEC,73.0,196,8.5,74.125,4.49,38.0,15,126.0,6.94,4.25,0,14.091,72.034,66.494,68.45,54.522,1,0,Rounds 6-7,0,0.26933291287606886,21,42.561983471074385,44.680851063829785
2025,WR,Skill,Stanford,ACC,73.75,206,10.0,78.375,4.44,38.5,33,127.0,6.7,4.31,1,-5.299,38.36,36.975,39.874,65.408,0,0,Rounds 4-5,1,0.26930211554279004,22,42.97520661157025,46.808510638297875
2023,OT,OL,North Carolina,ACC,76.0,309,10.0,82.75,5.15,29.5,20,108.0,7.6,4.69,0,6.195,60.099,78.452,30.968,61.95,0,0,Rounds 6-7,0,0.26925207115327765,22,43.388429752066116,46.808510638297875
