Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual,Predicted Probability
2025,WR,Skill,UNLV,Mountain West,73.125,184,9.25,31.625,76.0,4.61,36.0,11,123.0,6.66,4.66,1,1679,5.991,71.232,57.654,72.272,64.179,0,0,1,0.4900074098414408
2025,WR,Skill,Ole Miss,SEC,74.375,205,9.5,31.75,78.25,4.54,38.5,15,125.0,6.93,4.05,1,2007,20.608,84.235,76.596,81.866,47.73,1,1,1,0.6669404664010887
2025,DL,DL,Texas A&M,SEC,75.125,290,10.25,33.5,81.125,5.45,43.0,33,138.0,6.65,4.97,0,1762,14.297,76.763,68.737,71.579,64.836,1,0,1,0.690909501248075
2024,LB,LB,Ohio St.,Big Ten,72.75,226,9.25,30.5,73.625,4.64,33.5,18,112.0,7.13,4.23,1,2065,27.485,89.569,83.397,86.658,44.2,1,0,0,0.593647927240466
2023,WR,Skill,Clemson,ACC,75.125,217,10.25,31.5,80.375,4.54,34.5,19,124.0,6.96,4.29,1,1843,17.553,74.958,64.744,77.07,48.641,0,0,0,0.5632856171922599
2023,WR,Skill,South Carolina,SEC,73.0,201,9.5,34.125,80.25,4.69,35.0,17,130.0,7.15,4.31,1,1620,4.416,61.258,58.008,49.932,79.756,0,0,1,0.48765177598138976
2025,EDGE,DL,Ole Miss,SEC,77.875,274,9.125,33.5,82.75,5.45,24.5,30,138.0,8.19,4.97,0,2007,20.608,84.235,76.596,81.866,47.73,1,0,0,0.7529701065920851
2024,WR,Skill,Illinois,Big Ten,69.25,182,9.125,30.125,72.75,4.63,38.0,17,123.0,6.75,4.2,1,1504,0.543,45.217,52.138,44.335,38.615,0,0,0,0.5618487824242889
2024,IOL,OL,Utah,Pac-12,76.25,319,9.875,32.875,80.75,5.28,26.0,27,104.0,7.85,4.77,1,1684,10.768,65.114,50.684,74.826,48.257,0,0,1,0.3814315347693892
2024,CB,Secondary,Alabama,SEC,71.75,189,8.875,31.625,76.25,4.5,37.0,15,129.0,6.94,4.23,1,2032,24.925,84.968,76.211,80.844,61.941,0,1,1,0.7975520892162706
2023,K,Special Teams,Clemson,ACC,70.0,185,8.875,30.375,73.625,4.58,34.0,20,121.0,7.27,4.44,0,1843,17.553,74.958,64.744,77.07,48.641,0,0,0,0.5173070997519674
2023,CB,Secondary,California,Pac-12,72.875,208,10.0,30.25,74.375,4.45,39.5,22,128.0,6.75,4.17,1,1406,-1.39,44.902,38.449,54.726,43.407,0,0,1,0.6635139004880639
2024,CB,Secondary,Mississippi,SEC,72.0,183,8.5,30.75,73.75,4.38,34.5,15,125.0,6.94,4.55,1,1737,15.302,75.391,76.693,64.536,49.591,0,0,1,0.6940798003258019
2023,CB,Secondary,USC,Pac-12,71.0,178,9.25,31.0,75.625,4.47,36.0,11,125.0,6.51,4.31,1,1745,13.164,77.414,90.693,44.38,43.862,0,0,1,0.6217759399156677
2023,EDGE,DL,Auburn,SEC,75.0,252,9.5,33.5,79.75,4.62,33.5,23,121.0,7.17,4.44,0,1596,6.205,55.022,47.067,62.103,45.36,0,0,0,0.5186207458514591
2023,CB,Secondary,South Carolina,SEC,74.0,198,9.5,33.375,79.625,4.36,35.0,13,121.0,6.58,4.31,1,1620,4.416,61.258,58.008,49.932,79.756,0,0,1,0.5771042386248568
