Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2023,OT,OL,Georgia,SEC,77.375,311,10.625,34.75,82.75,4.97,30.0,20,108.0,7.6,4.69,1,2300,29.908,93.511,90.791,87.647,45.406,5.5013,0,0,Round 1,0,0.14189502488775307,39,60.74380165289256,100.0
2024,C,OL,Duke,ACC,77.375,313,9.375,32.875,79.75,5.2,31.0,27,105.0,7.41,4.24,0,1654,8.778,68.7,63.774,63.667,60.347,5.451,0,0,Round 1,0,0.1417530219529861,39,61.15702479338842,100.0
2023,WR,Skill,Arkansas,SEC,76.375,200,9.25,32.5,79.125,4.37,37.0,17,130.0,6.94,4.29,1,1686,6.93,62.299,69.2,48.112,56.255,0.0,0,0,Undrafted,0,0.140966775118393,39,61.57024793388429,100.0
2023,FB,Skill,North Dakota St.,MVFC,73.0,230,9.625,31.5,75.75,4.58,34.0,20,121.0,7.27,4.44,0,1746,11.417,68.377,64.602,65.17,51.016,0.0,0,0,Undrafted,0,0.14083027370280282,39,61.98347107438017,100.0
2024,IOL,OL,Kansas St.,Big 12,75.25,322,9.25,31.5,78.125,5.03,27.5,31,109.0,7.44,4.61,1,1942,18.789,79.849,77.7,71.656,49.809,5.2257,0,0,Round 3,0,0.1406899677519345,39,62.396694214876035,100.0
2024,WR,Skill,Michigan,Big Ten,74.75,212,8.625,31.875,77.25,4.44,37.5,15,127.0,6.85,4.1,1,2210,27.625,94.395,88.226,91.352,54.858,1.7918,0,0,Undrafted,0,0.14068516407392598,39,62.8099173553719,100.0
2024,C,OL,South Carolina,SEC,77.375,318,10.375,33.875,82.25,5.25,32.5,26,101.0,7.33,3.97,1,1594,6.054,55.105,53.866,54.724,48.937,1.0986,0,0,Undrafted,0,0.13926159351137132,39,63.22314049586777,100.0
2023,CB,Secondary,Illinois,Big Ten,69.75,211,10.25,31.5,76.0,4.47,40.5,23,130.0,6.68,4.07,1,1749,9.857,68.781,50.92,80.746,45.222,5.2627,0,0,Round 3,0,0.13894892836001022,39,63.63636363636363,100.0
2024,IOL,OL,Tulane,AAC,76.5,322,9.125,32.875,80.5,5.34,30.0,28,105.0,7.82,4.74,1,1598,3.05,60.759,46.835,66.943,59.144,0.0,0,0,Undrafted,0,0.13859639610661725,39,64.0495867768595,100.0
2025,IOL,OL,Georgia,SEC,78.5,308,10.375,32.25,79.25,4.97,32.0,11,113.0,7.38,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,5.3083,1,0,Round 2,0,0.13759088555716995,39,64.46280991735537,100.0
2023,LB,LB,Cincinnati,AAC,70.5,231,9.5,30.25,72.0,4.55,33.5,22,119.0,7.44,4.41,0,1690,6.451,60.989,44.607,64.989,69.829,0.0,0,1,Undrafted,0,0.13695091320779257,39,64.87603305785123,100.0
2023,DL,DL,Oklahoma,Big 12,74.0,291,10.125,32.625,78.25,4.81,34.5,27,116.0,7.3,4.51,1,1662,9.969,66.271,71.907,54.872,48.16,0.0,0,0,Undrafted,0,0.1368651319609687,39,65.28925619834712,100.0
2024,DL,DL,Illinois,Big Ten,73.625,304,9.5,32.375,75.875,5.01,29.5,27,108.0,8.01,4.79,0,1504,0.543,45.217,52.138,44.335,38.615,5.4072,0,1,Round 2,0,0.13674217196574093,39,65.70247933884298,100.0
2025,RB,Skill,Arizona State,Big 12,69.5,219,9.375,29.75,73.875,4.65,39.5,17,123.0,7.37,4.97,1,1801,11.793,78.233,79.692,66.688,47.348,5.037,0,0,Round 4,0,0.1360544214618219,39,66.11570247933885,100.0
2025,RB,Skill,Iowa,Big Ten,73.0,224,9.5,33.0,78.5,4.57,37.78,33,109.6,6.97,4.03,1,1774,11.144,70.238,48.063,74.759,71.573,5.1705,0,0,Round 3,0,0.13565436724587132,39,66.52892561983471,100.0
2025,WR,Skill,Arizona,Big 12,76.125,219,10.0,31.5,77.875,4.68,32.15,15,121.5,6.94,4.19,0,1307,-3.385,38.477,43.057,38.791,48.852,5.5255,0,1,Round 1,0,0.13507922658871352,39,66.94214876033058,100.0
2023,OT,OL,Ohio St.,Big Ten,80.25,374,11.625,36.375,87.875,5.35,26.0,20,112.0,7.61,4.6,1,2107,25.771,88.337,91.467,71.506,49.437,4.9972,0,0,Round 4,0,0.13451916337842101,39,67.35537190082644,100.0
2025,OT,OL,Kansas,Big 12,78.375,311,10.0,33.75,84.0,5.18,32.0,26,111.0,7.75,4.51,1,1625,8.755,66.926,75.105,52.224,46.186,0.0,0,0,Undrafted,0,0.1343408508000412,39,67.76859504132231,100.0
2024,C,OL,North Dakota St.,MVFC,77.0,301,9.5,33.125,77.875,5.14,31.5,26,109.0,7.41,4.81,0,1801,14.582,71.615,66.979,66.914,51.221,0.0,0,0,Undrafted,0,0.1342444751200149,39,68.18181818181817,100.0
2023,OT,OL,Kansas,Big 12,77.75,309,9.5,34.125,80.75,5.05,31.0,20,111.0,7.6,4.69,1,1373,3.37,60.21,82.028,38.063,37.048,0.0,0,0,Undrafted,0,0.13400451097777652,39,68.59504132231406,100.0
2024,TE,Skill,South Carolina,SEC,75.0,240,9.375,34.25,78.75,4.64,32.5,28,121.0,7.09,4.54,1,1594,6.054,55.105,53.866,54.724,48.937,0.0,0,0,Undrafted,0,0.1331807523903279,39,69.00826446280992,100.0
2024,TE,Skill,Ohio St.,Big Ten,75.875,247,9.75,32.75,77.25,4.65,34.5,28,117.0,7.07,4.45,1,2065,27.485,89.569,83.397,86.658,44.2,4.9127,1,0,Round 4,0,0.13223920837043368,39,69.42148760330579,100.0
2025,TE,Skill,LSU,SEC,77.125,251,10.0,33.25,78.75,4.28,24.5,33,110.7,6.65,4.97,0,1827,13.515,71.849,75.763,61.497,39.011,5.3799,0,0,Round 2,0,0.13192140956547707,39,69.83471074380165,100.0
2023,CB,Secondary,Utah,Pac-12,69.0,184,9.125,29.125,70.375,4.51,33.0,18,133.0,6.51,4.32,1,1915,19.146,79.905,74.866,74.068,53.378,4.9836,0,0,Round 4,0,0.131891717085494,39,70.24793388429752,100.0
2025,DL,DL,Boston College,ACC,74.75,312,9.5,33.0,81.0,5.3,31.5,11,108.0,8.19,4.97,1,1513,4.829,61.35,56.657,64.403,40.228,0.0,0,0,Undrafted,0,0.1318780958750762,39,70.66115702479338,100.0
